note,dataset,task,kind,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,control_frac_passed,verdict
original run used tabular recovery rules on UTAG column names,hnc_wu2022,motif_tumor_high,control,15,0.9315944737882272,0.9333884078623969,0.0,0.0,1.0,0.0,0.2566166441880455,0.0466086746067653,0.0,fail_control
original run used tabular recovery rules on UTAG column names,hnc_wu2022,motif_cd8_high,control,15,0.931099099524794,0.9277807437488388,0.0,0.0,1.0,0.0,0.3400661703321588,0.0225632462848225,0.0,fail_control
original run used tabular recovery rules on UTAG column names,hnc_wu2022,motif_cd8_clustering,spatial,15,0.5446666470882477,0.5783743305644872,0.0,0.0,0.5333333333333333,0.0,0.0156918875545455,0.0266605830053931,0.0,fail_control_block
original run used tabular recovery rules on UTAG column names,hnc_wu2022,motif_tumor_stroma_mixing,spatial,15,0.8294795708429153,0.8319360247595544,0.0,0.0,1.0,0.0,0.2949008849837327,0.0879649094150244,0.0,fail_control_block
original run used tabular recovery rules on UTAG column names,hnc_wu2022,motif_interface_immune,spatial,15,0.7561879282277743,0.8163169958266505,0.0,0.0,1.0,0.0,0.2124845950464277,0.0150732137248893,0.0,fail_control_block
original run used tabular recovery rules on UTAG column names,hnc_wu2022,motif_immune_exclusion,spatial,15,0.7781266459867631,0.8153573857328775,0.0,0.0,1.0,0.0,0.2821768119917712,0.0248006952773765,0.0,fail_control_block
