family,method,dataset,task,top1_feature,frac_top1,n_folds
composition_mixing,lasso,bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__HR- CK7-__to__Macrophages Vim+ Slug+,0.3333333333333333,15
composition_mixing,lasso,bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::shannon_entropy_normalized,0.8666666666666667,15
composition_mixing,lasso,hnc_wu2022,motif_cd8_clustering,mixing::neighbor_fraction__CD8 T cell__to__CD8 T cell,1.0,15
composition_mixing,lasso,hnc_wu2022,motif_immune_exclusion,mixing::neighbor_fraction__CD8 T cell__to__Tumor,0.6,15
composition_mixing,lasso,tnbc_wang2023,motif_cd8_high,mixing::shannon_entropy_normalized,0.26666666666666666,15
composition_mixing,shap,bc_jackson2020,motif_apc_t_contact,mixing::neighbor_fraction__Macrophage__to__T cell,0.8666666666666667,15
composition_mixing,shap,bc_jackson2020,motif_cd8_tumor_contact,mixing::neighbor_fraction__T cell__to__T cell,0.8666666666666667,15
composition_mixing,shap,bc_jackson2020,motif_macrophage_tumor_niche,mixing::neighbor_fraction__Macrophage__to__Stromal cells,0.8666666666666667,15
composition_mixing,shap,bc_jackson2020,motif_t_tumor_mixing,mixing::neighbor_fraction__T cell__to__T cell,0.8,15
composition_mixing,shap,bc_jackson2020,motif_tumor_high,composition::Stromal cells,0.9333333333333333,15
composition_mixing,shap,bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__B cells__to__Hypoxia,0.2,15
composition_mixing,shap,bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::shannon_entropy_normalized,0.4,15
composition_mixing,shap,hnc_wu2022,motif_cd8_clustering,mixing::neighbor_fraction__CD8 T cell__to__CD8 T cell,1.0,15
composition_mixing,shap,hnc_wu2022,motif_immune_exclusion,mixing::neighbor_fraction__CD8 T cell__to__Tumor,0.3333333333333333,15
composition_mixing,shap,tnbc_wang2023,motif_cd8_high,mixing::shannon_entropy_normalized,0.26666666666666666,15
density_mixing,lasso,bc_jackson2020,motif_apc_t_contact,mixing::neighbor_fraction__Macrophage__to__T cell,0.9333333333333333,15
density_mixing,lasso,bc_jackson2020,motif_cd8_tumor_contact,mixing::neighbor_fraction__T cell__to__T cell,1.0,15
density_mixing,lasso,bc_jackson2020,motif_macrophage_tumor_niche,mixing::neighbor_fraction__Macrophage__to__Stromal cells,1.0,15
density_mixing,lasso,bc_jackson2020,motif_t_tumor_mixing,mixing::neighbor_fraction__T cell__to__T cell,1.0,15
