dataset,task,feature,n_folds_top1,n_folds,frac_top1,method
bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__B cells__to__Hypoxia,3,15,0.2,shap
bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__Hypoxia__to__B cells,3,15,0.2,shap
bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__HER2+__to__HRlow CKlow,1,15,0.06666666666666667,shap
bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__HR+ CK7- Slug+__to__Hypoxia,1,15,0.06666666666666667,shap
bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__HR- Ki67+__to__Basal CKlow,1,15,0.06666666666666667,shap
bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__Vascular SMA+__to__HR- CK7-,1,15,0.06666666666666667,shap
bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__Vascular SMA+__to__Hypoxia,1,15,0.06666666666666667,shap
bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::shannon_entropy_normalized,11,15,0.7333333333333333,shap
bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::neighbor_fraction__B cells__to__HR+ CK7- Slug+,1,15,0.06666666666666667,shap
bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::neighbor_fraction__HR+ CK7- Slug+__to__Vascular SMA+,1,15,0.06666666666666667,shap
bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::neighbor_fraction__Hypoxia__to__B cells,1,15,0.06666666666666667,shap
bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::shannon_entropy_global,1,15,0.06666666666666667,shap
hnc_wu2022,motif_cd8_clustering,mixing::neighbor_fraction__CD8 T cell__to__CD8 T cell,15,15,1.0,shap
hnc_wu2022,motif_immune_exclusion,density::tumor_area_ratio,9,15,0.6,shap
hnc_wu2022,motif_immune_exclusion,mixing::neighbor_fraction__CD8 T cell__to__Tumor,4,15,0.26666666666666666,shap
hnc_wu2022,motif_immune_exclusion,mixing::neighbor_fraction__CD8 T cell__to__Naive immune cell,1,15,0.06666666666666667,shap
hnc_wu2022,motif_immune_exclusion,mixing::neighbor_fraction__Stroma__to__CD8 T cell,1,15,0.06666666666666667,shap
tnbc_wang2023,motif_cd8_high,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,4,15,0.26666666666666666,shap
tnbc_wang2023,motif_cd8_high,mixing::neighbor_fraction__pH2AX^{+}DSB__to__CD8^+T,3,15,0.2,shap
tnbc_wang2023,motif_cd8_high,mixing::neighbor_fraction__CD56^+NK__to__DCs,1,15,0.06666666666666667,shap
tnbc_wang2023,motif_cd8_high,mixing::neighbor_fraction__CD8^+PD1^+T_{Ex}__to__CD8^+TCF1^+T,1,15,0.06666666666666667,shap
tnbc_wang2023,motif_cd8_high,mixing::neighbor_fraction__Fibroblasts__to__CD8^+GZMB^+T,1,15,0.06666666666666667,shap
tnbc_wang2023,motif_cd8_high,mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},1,15,0.06666666666666667,shap
tnbc_wang2023,motif_cd8_high,mixing::neighbor_fraction__Treg__to__CD8^+T,1,15,0.06666666666666667,shap
tnbc_wang2023,motif_cd8_high,mixing::shannon_entropy_global,1,15,0.06666666666666667,shap
tnbc_wang2023,motif_cd8_high,point-pattern::CD8^+T_L_r100,1,15,0.06666666666666667,shap
tnbc_wang2023,motif_cd8_high,point-pattern::CD8^+T_L_r20,1,15,0.06666666666666667,shap
