task,kind,explainer,n_folds,mean_auc,frac_auc_passed,mean_loc_auprc,mean_loc_auprc2,mean_loc_enrichment,frac_loc_passed,mean_aupc_morf,mean_aupc_lerf,mean_delta_lerf_morf,frac_faith_passed,control_auc_frac,control_loc_frac,control_frac_passed,loc_verdict,faith_verdict,verdict,p_morf_lt_random,dataset,selected,combo
motif_macrophage_tumor_niche,spatial,ig,15,0.5328442066652267,0.2,0.4325846100596264,0.3984154864878082,1.9385727222995628,0.2,0.1752731412780453,0.8761638986975231,0.7008907574194776,0.2,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,0.0031677796185459,bc_jackson2020,True,mixing
motif_t_tumor_mixing,spatial,ig,15,0.6692430465411376,0.9333333333333332,0.4644392677436975,0.3763741165270003,1.1907025857372768,0.0,0.2069043223815187,0.8310005792468037,0.6240962568652849,0.9333333333333332,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,9.59329645196729e-14,bc_jackson2020,True,mixing
motif_tumor_high,control,ig,15,0.8223542514412585,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,fail_control,fail_control,fail_control,,bc_jackson2020,True,mixing
motif_cd8_clustering,spatial,ig,15,0.7206252738709622,1.0,0.3788375399611758,0.272636875558486,3.0535313074012675,1.0,0.1508015692461213,0.8100576097780682,0.659256040531947,1.0,0.2,0.2,0.2,fail_control_block,fail_control_block,fail_control_block,1.229538726241197e-12,hnc_wu2022,True,mixing
motif_cd8_high,control,ig,15,0.858094513133689,0.2,0.6047868753485459,0.6224954049315943,1.901379396670281,0.2,0.1989322890193935,0.725247969841511,0.5263156808221173,0.2,0.2,0.2,0.2,fail_control,fail_control,fail_control,0.0011049492504035,hnc_wu2022,False,mixing
motif_immune_exclusion,spatial,ig,15,0.7963226699562597,1.0,0.3573980145316023,0.4927878008986968,2.4710131095004475,1.0,0.1509761439540125,0.8237315803904762,0.6727554364364638,1.0,0.2,0.2,0.2,fail_control_block,fail_control_block,fail_control_block,4.590044147000108e-14,hnc_wu2022,True,mixing
motif_tumor_high,control,ig,15,0.8839353370619695,0.2,0.7602456553266274,0.7569122280106652,2.361536123539094,0.2,0.1933569554847497,0.8495677890173642,0.6562108335326143,0.2,0.2,0.2,0.2,fail_control,fail_control,fail_control,0.0048791459977655,hnc_wu2022,False,mixing
motif_cd8_high,control,ig,15,0.8672033639128475,0.1333333333333333,0.7386466100619415,0.7446871443970318,1.6994864631056084,0.1333333333333333,0.2449087621316127,0.7125229193017568,0.4676141571701439,0.1333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,fail_control,fail_control,fail_control,0.0176620365034277,tnbc_wang2023,True,mixing
motif_tumor_high,control,ig,15,0.8687296590769598,0.2,0.6995305976986192,0.7011673290197438,2.107008020948068,0.2,0.2632546738797137,0.7685918725031923,0.5053371986234785,0.2,0.1666666666666666,0.1666666666666666,0.1666666666666666,fail_control,fail_control,fail_control,0.0020923069804697,tnbc_wang2023,False,mixing
motif_cd8_high,control,ig,15,0.8111520168962251,0.0666666666666666,0.7845920683988342,0.7993998314449766,1.3542374728947806,0.0,0.2400909728770597,0.7294276727655324,0.4893366998884726,0.0666666666666666,0.1666666666666666,0.1333333333333333,0.1333333333333333,fail_control,fail_control,fail_control,,bc_metabric_ali2020,False,mixing
