task,kind,explainer,n_folds,mean_auc,frac_auc_passed,mean_loc_auprc,mean_loc_auprc2,mean_loc_enrichment,frac_loc_passed,mean_aupc_morf,mean_aupc_lerf,mean_delta_lerf_morf,frac_faith_passed,control_auc_frac,control_loc_frac,control_frac_passed,loc_verdict,faith_verdict,verdict,p_morf_lt_random,dataset,selected,combo
motif_cd8_high,control,random,15,0.9404275198653292,1.0,0.466432396199274,0.4840218676604754,1.0094274108234165,0.0,0.5908391629704627,0.5912799716248252,0.0004408086543625,0.0,1.0,0.0,0.0,fail_control,fail_control,fail_control,0.8856302096638706,bc_jackson2020,False,composition
motif_cd8_tumor_contact,spatial,random,15,0.8130867774847903,1.0,0.4292388334879973,0.366948549484313,0.9822926800020872,0.0,0.584362011332273,0.5868351375410674,0.0024731262087944,0.0,1.0,0.0,0.0,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.5530439652825517,bc_jackson2020,True,composition
motif_macrophage_tumor_niche,spatial,random,15,0.6987163123917506,1.0,0.305936881818111,0.2966842358022714,0.9888740117517298,0.0,0.4918882803507263,0.4974061008927952,0.0055178205420688,0.0,1.0,0.0,0.0,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.0244582341662933,bc_jackson2020,True,composition
motif_t_tumor_mixing,spatial,random,15,0.8012024834949976,1.0,0.4329211382369294,0.3678155275897184,1.017217469990417,0.0,0.5740708384257817,0.5713858464080809,-0.0026849920177008,0.0,1.0,0.0,0.0,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.4311092235729584,bc_jackson2020,True,composition
motif_tumor_high,control,random,15,0.9710136187037276,1.0,0.4039855646243676,0.4069739056631606,1.0176034714310258,0.0,0.5284496482433231,0.5289932349095203,0.0005435866661972,0.0,1.0,0.0,0.0,fail_control,fail_control,fail_control,0.4138293278982258,bc_jackson2020,True,composition
motif_apc_t_contact,spatial,single,15,0.6019790325846818,0.5333333333333333,0.3233549103490535,0.3265751411597203,0.6865606115035702,0.0,0.27251670452483,0.5973530843893446,0.3248363798645146,0.5333333333333333,1.0,1.0,1.0,abundance_only_or_fail,pass_spatial,faithful_but_wrong_place,2.317986359320288e-09,bc_jackson2020,True,composition
motif_cd8_high,control,single,15,0.9404275198653292,1.0,0.8843544363225972,0.8833945408891506,2.468309424605472,1.0,0.285728062218789,0.6869504350392192,0.4012223728204302,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,3.2387653241662794e-16,bc_jackson2020,False,composition
motif_cd8_tumor_contact,spatial,single,15,0.8130867774847903,1.0,0.4288700929044804,0.3392738907158944,0.6829309195006853,0.0,0.4564189052976247,0.8337552710441878,0.377336365746563,1.0,1.0,1.0,1.0,abundance_only_or_fail,pass_spatial,faithful_but_wrong_place,7.280659682233275e-14,bc_jackson2020,True,composition
motif_macrophage_tumor_niche,spatial,single,15,0.6987163123917506,1.0,0.3159328376305682,0.2825065149425084,0.7893361382858247,0.0,0.3826226968879209,0.7784347223495653,0.3958120254616443,1.0,1.0,1.0,1.0,abundance_only_or_fail,pass_spatial,faithful_but_wrong_place,3.2321757520387945e-13,bc_jackson2020,True,composition
motif_t_tumor_mixing,spatial,single,15,0.8012024834949976,1.0,0.4349503144295381,0.345194609327154,0.7231698350611769,0.0,0.4497861377553194,0.8230000673047743,0.3732139295494547,1.0,1.0,1.0,1.0,abundance_only_or_fail,pass_spatial,faithful_but_wrong_place,6.076900944256076e-14,bc_jackson2020,True,composition
