task,kind,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,lasso_control_frac,shap_control_frac,control_frac_passed,lasso_verdict,shap_verdict,verdict,dataset,selected,family,lasso_ok,shap_ok
motif_cd8_high,control,15,0.9840954832663472,0.984814695607591,1.0,1.0,1.0,1.0,0.0593434859273073,0.003963904097315,1.0,1.0,1.0,pass_control,pass_control,pass_control,hnc_wu2022,False,composition_mixing,True,True
motif_cd8_clustering,spatial,15,0.9386639965220896,0.9387598938993168,1.0,1.0,0.9333333333333332,0.9333333333333332,0.2164124140263622,0.017760811438437,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,hnc_wu2022,True,composition_mixing,True,True
motif_immune_exclusion,spatial,15,0.9247978693865252,0.9289453962699856,0.0,0.0,1.0,0.0,0.0560455623164369,0.0020987555212816,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,hnc_wu2022,True,composition_mixing,False,False
motif_tumor_high,control,15,0.964683650688449,0.9661640871784616,0.0,0.0,0.8,0.0,0.0027772969630093,-5.995165688219561e-05,0.0,0.2333333333333333,0.0,fail_control,fail_control,fail_control,tnbc_wang2023,False,composition_mixing,False,False
motif_cd8_high,control,15,0.9760251118301404,0.9737582063922432,0.0,0.4666666666666667,0.8666666666666667,0.0,0.0040089026906893,-0.0001652650062784,0.0,0.2333333333333333,0.0,fail_control,fail_control,fail_control,tnbc_wang2023,True,composition_mixing,False,False
motif_tumor_high,control,15,0.9753503840667068,0.976498600621374,0.0,0.0,1.0,0.0,0.0136424314915467,0.001231754123046,0.0,0.1333333333333333,0.0,fail_control,fail_control,fail_control,bc_metabric_ali2020,False,composition_mixing,False,False
motif_cd8_high,control,15,0.9414140764570522,0.9330963589836212,0.0,0.2666666666666666,1.0,0.0,0.0399281790230884,0.0019091012190169,0.0,0.1333333333333333,0.0,fail_control,fail_control,fail_control,bc_metabric_ali2020,False,composition_mixing,False,False
motif_tumor_stroma_mixing,spatial,15,0.8211866028207535,0.8283315171181295,1.0,1.0,1.0,1.0,0.0745267610428977,0.0028665598080517,0.0,0.1333333333333333,0.0,fail_control_block,fail_control_block,fail_control_block,bc_metabric_ali2020,True,composition_mixing,True,True
motif_interface_immune,spatial,15,0.5220725354897646,0.5242686605156958,0.0,0.0,0.4,0.0,-0.0008107564442783,0.0008742572205443,0.0,0.1333333333333333,0.0,fail_control_block,fail_control_block,fail_control_block,bc_metabric_ali2020,True,composition_mixing,False,False
motif_tumor_high,control,15,0.9657877435362908,0.9672404818474496,1.0,1.0,1.0,1.0,0.0344884711927673,0.0010403449408716,0.5,0.5,0.5,pass_control,pass_control,pass_control,bc_jackson2020,True,density_mixing,True,True
