family,dataset,task,kind,method,n_hit_candidates,hit_at_1,precision_at_3,precision_at_5,mrr,recall_at_1,recall_at_3,recall_at_5,miss_as_top1,n_folds
density_point_pattern,bc_jackson2020,motif_tumor_high,control,shap,15,1.0,0.4888888888888889,0.38666666666666666,1.0,1.0,0.4888888888888889,0.38666666666666666,0.0,15
density_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,24,0.0,0.0,0.02666666666666667,0.10452214452214452,0.0,0.0,0.02666666666666667,0.0,15
density_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,shap,24,0.0,0.04444444444444444,0.04000000000000001,0.07910401002506265,0.0,0.04444444444444444,0.04000000000000001,0.0,15
density_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,lasso,10,1.0,1.0,0.9866666666666667,1.0,1.0,1.0,0.9866666666666667,0.0,15
density_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,shap,10,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9466666666666667,0.0,15
density_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,lasso,12,0.0,0.3333333333333333,0.2,0.5,0.0,0.3333333333333333,0.2,0.0,15
density_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,shap,12,0.26666666666666666,0.28888888888888886,0.21333333333333335,0.5888888888888889,0.26666666666666666,0.28888888888888886,0.21333333333333335,0.0,15
density_point_pattern,tnbc_wang2023,motif_cd8_high,control,lasso,4,1.0,0.8666666666666667,0.6266666666666667,1.0,1.0,0.8666666666666667,0.7833333333333333,0.0,15
density_point_pattern,tnbc_wang2023,motif_cd8_high,control,shap,4,0.9333333333333333,0.6666666666666666,0.5333333333333333,0.9666666666666667,0.9333333333333333,0.6666666666666666,0.6666666666666666,0.0,15
mixing_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,lasso,427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,shap,427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing_point_pattern,bc_jackson2020,motif_tumor_high,control,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing_point_pattern,bc_jackson2020,motif_tumor_high,control,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,shap,20,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,15
mixing_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,491,1.0,0.9555555555555556,0.92,1.0,1.0,0.9555555555555556,0.92,0.0,15
mixing_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,shap,491,1.0,0.9777777777777777,0.9600000000000001,1.0,1.0,0.9777777777777777,0.9600000000000001,0.0,15
mixing_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,lasso,19,1.0,0.8222222222222222,0.7066666666666667,1.0,1.0,0.8222222222222222,0.7066666666666667,0.0,15
mixing_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,shap,19,1.0,0.7333333333333333,0.6,1.0,1.0,0.7333333333333333,0.6,0.0,15
mixing_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,lasso,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,shap,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing_point_pattern,tnbc_wang2023,motif_cd8_high,control,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing_point_pattern,tnbc_wang2023,motif_cd8_high,control,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
