dataset,task,seed,fold,method,kind,hit_in_top5,n_hit_in_top,best_hit_rank,top1,miss_as_top1,recovered,passed,auc_lasso,auc_ridge,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed
hnc_wu2022,motif_cd8_clustering,2,4,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.6274509803921569,0.5602240896358543,-0.0056022408963585,-0.1148459383753501,True
hnc_wu2022,motif_cd8_high,0,0,lasso,control,utag_mean__CD8;utag_mean__CD3e,2,2.0,utag_std__CD8,False,True,True,0.9287581699346404,0.9287581699346404,0.2555555555555555,0.0150326797385619,True
hnc_wu2022,motif_cd8_high,0,0,shap,control,utag_mean__CD8;utag_mean__CD3e,2,2.0,utag_std__CD8,False,True,True,0.9287581699346404,0.9287581699346404,0.2555555555555555,0.0150326797385619,True
hnc_wu2022,motif_cd8_high,0,1,lasso,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.9134920634920636,0.9246031746031744,0.365079365079365,-0.0134920634920636,True
hnc_wu2022,motif_cd8_high,0,1,shap,control,utag_mean__CD8,1,1.0,utag_mean__CD8,False,True,True,0.9134920634920636,0.9246031746031744,0.365079365079365,-0.0134920634920636,True
hnc_wu2022,motif_cd8_high,0,2,lasso,control,utag_mean__CD8;utag_mean__CD3e,2,1.0,utag_mean__CD8,False,True,True,0.9115479115479116,0.9090909090909092,0.2604422604422604,-0.004095004095004,True
hnc_wu2022,motif_cd8_high,0,2,shap,control,utag_mean__CD8,1,1.0,utag_mean__CD8,False,True,True,0.9115479115479116,0.9090909090909092,0.2604422604422604,-0.004095004095004,True
hnc_wu2022,motif_cd8_high,0,3,lasso,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.9274537695590328,0.9352773826458036,0.3307254623044097,0.0106685633001422,True
hnc_wu2022,motif_cd8_high,0,3,shap,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.9274537695590328,0.9352773826458036,0.3307254623044097,0.0106685633001422,True
hnc_wu2022,motif_cd8_high,0,4,lasso,control,utag_mean__CD8;utag_mean__CD3e,2,2.0,utag_std__CD8,False,True,True,0.9033579033579032,0.9164619164619164,0.3791973791973793,0.0540540540540541,True
hnc_wu2022,motif_cd8_high,0,4,shap,control,utag_mean__CD8;utag_mean__CD3e,2,2.0,utag_std__CD8,False,True,True,0.9033579033579032,0.9164619164619164,0.3791973791973793,0.0540540540540541,True
hnc_wu2022,motif_cd8_high,1,0,lasso,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.9599358974358974,0.9583333333333334,0.3194444444444445,0.0507478632478632,True
hnc_wu2022,motif_cd8_high,1,0,shap,control,utag_mean__CD8;utag_mean__CD3e,2,2.0,utag_std__CD8,False,True,True,0.9599358974358974,0.9583333333333334,0.3194444444444445,0.0507478632478632,True
hnc_wu2022,motif_cd8_high,1,1,lasso,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.9694581280788176,0.9714285714285716,0.4630541871921183,2.220446049250313e-16,True
hnc_wu2022,motif_cd8_high,1,1,shap,control,utag_mean__CD8,1,1.0,utag_mean__CD8,False,True,True,0.9694581280788176,0.9714285714285716,0.4630541871921183,2.220446049250313e-16,True
hnc_wu2022,motif_cd8_high,1,2,lasso,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.8948137326515705,0.899926953981008,0.2804967129291453,0.0153396639883125,True
hnc_wu2022,motif_cd8_high,1,2,shap,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.8948137326515705,0.899926953981008,0.2804967129291453,0.0153396639883125,True
hnc_wu2022,motif_cd8_high,1,3,lasso,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.8993055555555556,0.9036458333333334,0.3342013888888889,0.0390625,True
hnc_wu2022,motif_cd8_high,1,3,shap,control,utag_mean__CD8,1,2.0,utag_std__CD8,False,True,True,0.8993055555555556,0.9036458333333334,0.3342013888888889,0.0390625,True
hnc_wu2022,motif_cd8_high,1,4,lasso,control,utag_mean__CD8,1,1.0,utag_mean__CD8,False,True,True,0.9174174174174174,0.9204204204204204,0.2297297297297297,0.0382882882882883,True
