family,method,dataset,task,top1_feature,frac_top1,n_folds
mixing,shap,hnc_wu2022,motif_immune_exclusion,mixing::neighbor_fraction__CD8 T cell__to__Tumor,0.3333333333333333,15
mixing,shap,tnbc_wang2023,motif_cd8_high,mixing::shannon_entropy_normalized,0.26666666666666666,15
point_pattern,lasso,bc_jackson2020,motif_apc_t_contact,point-pattern::T cell_L_r10,0.8666666666666667,15
point_pattern,lasso,bc_jackson2020,motif_cd8_tumor_contact,point-pattern::Tumor (CK lo HR lo)_L_r50,0.2,15
point_pattern,lasso,bc_jackson2020,motif_macrophage_tumor_niche,point-pattern::Tumor (CK7+)_L_r100,0.26666666666666666,15
point_pattern,lasso,bc_jackson2020,motif_t_tumor_mixing,point-pattern::Endothelial_K_r10,0.13333333333333333,15
point_pattern,lasso,bc_jackson2020,motif_tumor_high,point-pattern::Tumor (Basal CK)_L_r20,0.3333333333333333,15
point_pattern,lasso,bc_metabric_ali2020,motif_interface_immune,point-pattern::HR+ CK7- Ki67+_L_r50,0.26666666666666666,15
point_pattern,lasso,bc_metabric_ali2020,motif_tumor_stroma_mixing,point-pattern::Fibroblasts_L_r50,0.26666666666666666,15
point_pattern,lasso,hnc_wu2022,motif_cd8_clustering,point-pattern::CD8 T cell_L_r200,1.0,15
point_pattern,lasso,hnc_wu2022,motif_immune_exclusion,point-pattern::B cell_L_r200,0.26666666666666666,15
point_pattern,lasso,tnbc_wang2023,motif_cd8_high,point-pattern::CD8^+PD1^+T_{Ex}_L_r10,0.4666666666666667,15
point_pattern,shap,bc_jackson2020,motif_apc_t_contact,point-pattern::T cell_L_r10,0.5333333333333333,15
point_pattern,shap,bc_jackson2020,motif_cd8_tumor_contact,point-pattern::Tumor (CK lo HR lo)_L_r50,0.4,15
point_pattern,shap,bc_jackson2020,motif_macrophage_tumor_niche,point-pattern::Macrophage_L_r100,0.13333333333333333,15
point_pattern,shap,bc_jackson2020,motif_t_tumor_mixing,point-pattern::Tumor (CK lo HR lo)_L_r50,0.4666666666666667,15
point_pattern,shap,bc_jackson2020,motif_tumor_high,point-pattern::Endothelial_L_r50,0.2,15
point_pattern,shap,bc_metabric_ali2020,motif_interface_immune,point-pattern::Fibroblasts_L_r20,0.13333333333333333,15
point_pattern,shap,bc_metabric_ali2020,motif_tumor_stroma_mixing,point-pattern::Fibroblasts CD68+_L_r10,0.26666666666666666,15
point_pattern,shap,hnc_wu2022,motif_cd8_clustering,point-pattern::CD8 T cell_L_r200,0.8,15
point_pattern,shap,hnc_wu2022,motif_immune_exclusion,point-pattern::CD8 T cell_L_r20,0.4,15
point_pattern,shap,tnbc_wang2023,motif_cd8_high,point-pattern::CD8^+T_L_r10,0.4,15
